data,rodada,mandante,visitante,gols_mandante,gols_visitante,competicao
2021-01-06,28,Botafogo-RJ,Athletico-PR,0,2,Brasileirao Serie A 2021
2021-01-06,28,Bragantino,Sao Paulo,4,2,Brasileirao Serie A 2021
2021-01-06,28,Coritiba,Goias,1,2,Brasileirao Serie A 2021
2021-01-06,28,Flamengo,Fluminense,1,2,Brasileirao Serie A 2021
2021-01-06,28,Gremio,Bahia,2,1,Brasileirao Serie A 2021
2021-01-06,28,Sport,Fortaleza,1,0,Brasileirao Serie A 2021
2021-01-07,28,Atletico-GO,Vasco,0,0,Brasileirao Serie A 2021
2021-01-07,28,Ceara,Internacional,0,2,Brasileirao Serie A 2021
2021-01-09,29,Coritiba,Athletico-PR,0,0,Brasileirao Serie A 2021
2021-01-09,29,Fortaleza,Gremio,0,0,Brasileirao Serie A 2021
2021-01-09,29,Sport,Palmeiras,0,1,Brasileirao Serie A 2021
2021-01-10,29,Atletico-GO,Bahia,1,1,Brasileirao Serie A 2021
2021-01-10,29,Flamengo,Ceara,0,2,Brasileirao Serie A 2021
2021-01-10,29,Internacional,Goias,1,0,Brasileirao Serie A 2021
2021-01-10,29,Sao Paulo,Santos,0,1,Brasileirao Serie A 2021
2021-01-10,29,Vasco,Botafogo-RJ,3,0,Brasileirao Serie A 2021
2021-01-11,29,Bragantino,Atletico-MG,2,2,Brasileirao Serie A 2021
2021-01-13,29,Corinthians,Fluminense,5,0,Brasileirao Serie A 2021
2021-01-15,30,Palmeiras,Gremio,1,1,Brasileirao Serie A 2021
2021-01-16,30,Fluminense,Sport,1,0,Brasileirao Serie A 2021
2021-01-16,30,Vasco,Coritiba,0,1,Brasileirao Serie A 2021
2021-01-17,30,Athletico-PR,Sao Paulo,1,1,Brasileirao Serie A 2021
2021-01-17,30,Atletico-MG,Atletico-GO,3,1,Brasileirao Serie A 2021
2021-01-17,30,Ceara,Bragantino,1,2,Brasileirao Serie A 2021
2021-01-17,30,Internacional,Fortaleza,4,2,Brasileirao Serie A 2021
2021-01-17,30,Santos,Botafogo-RJ,2,1,Brasileirao Serie A 2021
2021-01-18,30,Goias,Flamengo,0,3,Brasileirao Serie A 2021
2021-01-18,28,Palmeiras,Corinthians,4,0,Brasileirao Serie A 2021
2021-01-20,31,Bahia,Athletico-PR,1,0,Brasileirao Serie A 2021
2021-01-20,31,Botafogo-RJ,Atletico-GO,1,3,Brasileirao Serie A 2021
